"C1"	"499,283,501,500,282,284"
"C2"	"337,346,263,253,136,135,134"
"C3"	"581,585,770,472,935,471"
"C4"	"613,635,261,183,713,137,444,91,275,90,260,400"
"C5"	"808,884,883"
"C6"	"412,627,494,411,706,683,265,757"
"C7"	"860,747,748,765"
"C8"	"396,793,429,426,480,507,826,638"
"C9"	"121,657,229,749,299,482,404,230,943,129,207,483,122,473,783"
"C11"	"718,300,545,202,427,490,203,339,280"
"C12"	"764,366,479,971,593,741,604,465,688"
"C13"	"5,6,14,93,154,24,42,13,4,3,29,773,12,663,52"
"C14"	"302,555,852,391,316,301"
"C15"	"211,984,720,896,579,428,243,951,212,442,315,618"
"C16"	"492,170,640,367,945,182,279,325,962,169,403,752,621,220,402,171,612,936,734,692,617,666,570,401,181,607,759,481,240,525,334,227"
"C17"	"960,906,892"
"C18"	"825,824,894,956,944"
"C19"	"144,151,138,406,771,574,326,143,187,352,153,36,447,186,35,139,327,201,487,523,372,347,373,336,328,580,152"
"C20"	"703,591,358,361,598,357"
"C21"	"213,827,953,104,807,707,455,103,437,431,140,572,731,732,577,843,558,167,679,830,566,861,704,815"
"C22"	"510,841,307,278,842,286,306,277"
"C24"	"835,549,54,81,73,850,573,379,551,546,47,526,527,561,550,729,556,548,46,547"
"C25"	"495,355,712,439,739,440"
"C27"	"775,594,450,736,584,488,673,725,631,519,374,351,533"
"C28"	"221,199,602,200,258,259"
"C29"	"39,49,111,115,348,241,105,26,25,48,210,314,493,28,262,245,832,141,43,246,65"
"C30"	"605,375,386,371"
"C31"	"392,656,393,420,750,543"
"C32"	"59,61,60,113,62,112,58,338"
"C33"	"127,123,394,124,125,244"
"C35"	"485,484,270,271,269"
"C36"	"106,147,88,18,17,71,83,67,66,100,231,353"
"C37"	"669,668,886,751,858,859"
"C38"	"457,92,695,150,250,831,424,68,50,51,466,196,356,63"
"C39"	"738,333,389,664,388,837,647,496,636"
"C40"	"461,34,344,571,287,44,382,30,99,297,453,53,557,563,126,578,677,31,380,924,40"
"C41"	"74,69,75,70,77,76,78"
"C42"	"226,364,880,653,228,652,225,879,654,363"
"C43"	"515,166,491,173,132,131,165,172,619"
"C44"	"161,498,503,219,160,409,276,179"
"C45"	"702,671,475,505,587,504"
"C47"	"223,224,252,222,575,251"
"C48"	"11,15,19,9,20,10,7,844,64,8,57,56,55"
"C49"	"21,118,84,87,678,655,72,22,38,45,164,233,266,27,180"
"C50"	"569,323,902,198,193,235,369,281,242,185,149,94,354,330,662,155,624,658,592,195,194,407,192,234,381,146,637,80,157,79,324,296,387,184"
"C51"	"512,514,513,511"
"C52"	"128,114,162,97,390,96,176"
"C53"	"359,1,41,362,23,232,142,33,267,2,37,82,178,16,32,474,430,177,130"
"C54"	"414,615,413,616,806"
"C55"	"360,215,634,273,204,214,205"
"C56"	"903,541,950,755,715"
"C57"	"685,255,254,335,408,378,862"
"C58"	"293,441,102,163,120,959,432,101,298,458,596,197"
"C59"	"257,256,295,630,294"
"C60"	"342,341,343,459,460"
"C61"	"846,710,674,675,761,689"
"C62"	"86,89,85,98,95,175,345"
"C63"	"478,625,589,901,317,691,318"
"C64"	"672,516,383,626,422,423"
"C65"	"676,644,696,788,742,538,520,754,687,908"
"C66"	"781,778,509,776,777,508,779"
"C67"	"942,312,365,937,874,452,313,665"
"C68"	"117,133,216,322,218,116,119,305"
"C69"	"350,191,237,236,190,349,264"
"C70"	"340,947,239,272,697,238"
"C71"	"661,737,464,899,576,468"
"C72"	"217,188,809,189,304,209"
"C73"	"811,888,810,887"
"C74"	"436,435"
"C75"	"522,521,659,684"
"C76"	"108,418,415,416,107,417,110,109"
"C77"	"981,982,980"
"C78"	"310,311,421,309,476"
"C79"	"864,865,870,969,970"
"C80"	"329,446,727,248,249,477"
"C81"	"590,756,434,443,208,554,274,410,433,308,159,158"
