"C1"	"535,630,534,779"
"C2"	"342,831,620,421,341,903"
"C3"	"831,903"
"C4"	"342,620,421,341"
"C5"	"799,643,807,642"
"C6"	"550,329,366,766,328,1001,1002,1161,980,1099,583,317,1247,901"
"C7"	"550,766,1247,901"
"C9"	"329,328,980,583"
"C10"	"658,1238,1147,1434,208,436,514,560,726,1186,845,961,167,877,533,1009,435,1010,1042,907,835,1189,710,764,723,730,1006,1113,926,1266,1239,263,859"
"C11"	"436,560,533,435,710"
"C12"	"436,560,533,435,710"
"C13"	"658,1238,1434,208,514,726,961,877,1009,1010,1042,907,764,1006,926,1239,859"
"C14"	"1238,1434,208,514,726,1009,1010,907,764,926,1239"
"C15"	"658,877,1042,1006,859"
"C16"	"1147,1186,845,167,835,1189,723,730,1113,1266,263"
"C17"	"845,1189,723,730"
"C18"	"1147,835,1113,1266,263"
"C19"	"1186,167"
"C20"	"1186,167"
"C21"	"93,100,223,92,218,99,456"
"C22"	"319,294,505,315,293"
"C27"	"453,393,452,433,377,873,656,655,464,378"
"C28"	"53,32,146,154,160,76,80,37,440,12,33,13,728,81,194,75,158,438,74"
"C29"	"53,32,146,154,160,76,80,37,12,33,13,728,81,194,75,158,74"
"C30"	"76,37,13,728,75,74"
"C31"	"53,32,146,154,160,76,80,37,12,33,13,728,81,194,75,74"
"C32"	"187,135,872,120,451"
"C33"	"805,967,587,1147,1142,265,1214,514,388,1276,915,662,1363,363,603,613,264,126,364,167,413,703,176,707,906,1057,518,606,215,394,732,1215,441,442,586,572,291,222,487,1079,311,350,486,569,209,277,702,131,1322,1126,833,278,168,138,402,255,573,1442,638,357,389,443,640,279,581,1058,1044,611,125,580"
"C34"	"587,1214,126,167,176,707,1057,518,1215,586,572,487,486,131,168,138,573,1058,1044,611,125"
"C35"	"487,486,1044,611"
"C36"	"587,586,572,573"
"C37"	"1214,1057,1215,1058"
"C38"	"126,167,176,707,131,168,138,125"
"C39"	"805,967,388,1276,915,1363,363,364,413,703,606,394,732,441,442,569,702,402,638,443,640,581,580"
"C40"	"388,1276,363,364,413,394,402,640"
"C41"	"805,967,915,703,732,569,702,581,580"
"C42"	"606,441,442,638,443"
"C43"	"1079,1126,1442,357"
"C44"	"1442,357"
"C46"	"265,662,603,613,264,906,311,1322,833,389"
"C47"	"350,277,278,279"
"C48"	"514,215,291,222,209,255"
"C49"	"89,429,173,304,324,238,695,852,172,195,88,851,191,356,239,629,463,853,854,251,540"
"C52"	"89,429,173,304,324,238,852,172,195,88,851,191,356,239,629,463,853,854,251,540"
"C53"	"429,173,238,172,195,356,239,629"
"C54"	"852,851,853,854"
"C59"	"415,558,669,828,354,355,968,589,759,588,579,513,830,569,894,879,1396"
"C60"	"828,968,759"
"C61"	"415,354,355,579,513,569"
"C62"	"731,700,701,720,777,778,610,609"
"C63"	"861,1220,1221,860"
"C64"	"861,860"
"C65"	"110,492,29,15,128,82,48,69,16,292,111,56,46,27,30,52,554,83,62,127,73,169,19,28,141,256,72,39,68,50,40,47,61"
"C66"	"110,492,29,15,128,82,48,69,16,292,111,56,46,27,30,52,554,83,62,127,73,169,19,28,141,256,72,39,68,50,40,47,61"
"C67"	"110,492,69,292,56,27,52,83,169,28,141,256,39,40,47"
"C68"	"29,15,128,82,48,16,111,46,30,554,62,127,73,19,72,68,50,61"
"C69"	"473,753,928,882,740"
"C70"	"17,133,163,67,18,51,180,104,103"
"C71"	"574,637,331,396,1051,1375,1228,1061,220,1054,509,1062,523,1374,1373,480,508,261,659,224,963,528,221,984,397,524,1328,422,1229,568,237,965"
"C72"	"331,220,261,224,221,237"
"C73"	"331,220,261,224,221,237"
"C74"	"331,220,261,659,224,221,237"
"C75"	"1228,1061,1062,1229"
"C76"	"331,1051,1375,220,1374,1373,261,659,224,221,984,237,965"
"C77"	"574,637,396,1051,1375,1054,509,523,1374,1373,480,508,963,528,984,397,524,1328,422,568,965"
"C78"	"396,480,397,422,568"
"C79"	"637,509,508,528"
"C80"	"1074,1341,1340,1342,1073"
"C82"	"1074,1073"
"C83"	"1341,1340,1342"
"C86"	"1381,1418,1128"
"C87"	"460,26,1304,1131,206,605,575,406,1240,708,113,715,484,552,116,400,741,94,45,302,898,774,462,285,1039,527,225,714,136,1024,763,678,1417,1251,185,1056,207,57,531,112,399,878,405,58,426,868,137,454,164,966,411,495,21,60,44,1295,653,376,11,186,789,621,22,59,219,1371,338,300,1264,987,517,553,772,696,283,614,847,547,564,1278,1040,385"
"C88"	"26,741,45,1024,21,44,11,22,338,847"
"C89"	"741,1024,338,847"
"C90"	"26,45,11,22"
"C91"	"460,1304,406,708,113,715,116,94,1251,57,112,405,58,789,517,553,283,547"
"C92"	"113,116,94,57,112,58,283"
"C93"	"460,1304,406,708,1251,405,517,553"
"C94"	"460,1304,406,708,1251,405,966,517,553"
"C95"	"460,1304,406,708,1251,405,966,517,553"
"C97"	"1131,206,605,575,1240,715,484,552,400,302,898,774,462,285,1039,527,225,136,763,678,1417,185,1056,207,531,399,878,868,137,454,164,411,495,60,1295,653,376,186,621,59,219,1371,300,1264,987,517,772,696,614,564,1278,1040,385"
"C98"	"1131,206,605,575,484,552,400,898,225,136,763,678,1417,185,1056,207,399,137,164,495,60,1295,376,186,59,219,300,987,772,614,564,1278,1040,385"
"C99"	"715,302,774,462,527,531,878,868,454,411,653,621,1264,517,696"
"C102"	"817,896,695,1115,930"
"C103"	"817,896,695"
"C104"	"817,896,695,930"
"C105"	"817,896,695,1115"
"C106"	"919,249"
"C107"	"1338,382,1016,445,478,444,1015,941"
"C108"	"1016,445,478,444,1015"
"C109"	"1338,941"
"C110"	"634,927,876,704"
"C111"	"634,927,876,704"
"C112"	"1254,792,282,173,852,172,195,1114,851,239,1189,853,1113,854"
"C113"	"1254,792,852,1114,1189,853,1113"
"C114"	"282,173,851,239,854"
"C116"	"787,387,801,1092,1155,1083,510,838,1172,1198,474,1086,118,179,618,1242,1132,1313,786,924,246,952,826,1157,368,162,326,202,348,352,917,699,307,1159,1141,358,1173,1390,515,231,1252,714,738,864,1003,757,812,465,250,475,627,461,1124,954,212,122,1257,716,1053,428,1419,953,1064,1200,488,635,347,1118,745,875,986,561,1129,863,149,1117,780,698,1253,1246,983,1366,1167,665,198,1000,935,1219,668,1286,1020,1082,390,1241,795,837,989,585,718,781,796,308,203,1181,310,1369,1109,693,829,543,370,650,1204,737,1017,626,571,959,804,1120,491,765,150,502,117,788,1085,521,537,1213,746,990,298,1160,468,909"
"C117"	"510,162,307,1173,515,714,757,250,627,1064,488,149,1117,198,585,308,829,626,150,502,298,468"
"C118"	"162,250,149,198,150"
"C119"	"510,307,585,308,829,502"
"C120"	"787,838,917,875,1167,804,788,909"
"C121"	"787,838,875,788,909"
"C122"	"801,1092,1083,1086,1132,1313,786,924,952,1159,1141,1390,1252,738,1003,812,1124,1257,716,1053,1419,1200,1118,745,698,1253,1246,983,665,935,1219,1286,1020,1082,1241,837,989,796,1181,1109,737,1017,571,959,765,1085,537,746,990,1160"
"C123"	"1092,1083,1132,1313,786,1390,1252,738,1003,812,1257,716,1419,698,1253,983,935,1020,989,796,1181,737,1017,571,537,746,990,1160"
"C124"	"801,1086,924,952,1159,1141,1124,1053,1200,1118,745,1246,665,1219,1286,1082,1241,837,1109,959,765,1085"
"C126"	"387,1155,1172,474,118,179,618,1242,246,826,368,326,202,348,352,699,358,231,864,465,475,461,954,212,122,428,953,635,347,986,561,1129,863,780,1000,668,390,795,718,781,203,310,1369,693,543,370,650,1204,1120,491,117,521,1213"
"C127"	"387,1172,179,618,826,326,202,699,358,212,953,1129,863,780,1000,668,390,795,781,203,1369,693,543,370,1120,1213"
"C128"	"1155,474,118,1242,246,368,348,352,231,864,465,475,461,954,122,428,635,347,561,718,310,650,1204,491,117,521"
"C129"	"290,556,1,53,260,107,14,32,7,295,146,892,1029,555,2,366,43,654,825,582,323,154,332,160,76,1069,139,562,232,80,70,37,321,403,6,1384,822,657,862,130,12,34,33,31,1415,159,248,42,330,13,205,312,84,230,728,1156,1169,35,1001,105,184,174,148,1002,109,349,81,8,286,143,739,142,1161,104,1410,483,1258,252,194,234,189,36,155,1174,120,153,86,458,696,451,121,4,869,20,75,922,233,78,102,3,87,115,383,175,123,124,1414,166,253,1049,1249,538,271,651,74,359,317,103,316,584,235,9,106,79"
"C130"	"107,332,1156,184,148,234,155,115,383,123,124,359,235,106"
"C131"	"366,562,321,862,349,317,316"
"C132"	"107,1156,109,234,189,153,78,87,115,383,235,106,79"
"C133"	"290,260,232,248,233"
"C134"	"1029,366,582,562,321,403,822,862,349,739,1410,1258,1174,869,922,1049,317"
"C135"	"366,562,321,403,862,349,1049,317"
"C136"	"366,562,321,862,349,317"
"C137"	"822,739"
"C138"	"1410,1174,922"
"C139"	"1029,582,1258,869"
